participant_id,task_status,4-accuracy,5-accuracy,6-accuracy,7-accuracy,8-accuracy
15,PRE_TEST,1.0,0.75,0.5,0.25,0.0
15,POST_TEST,0.75,0.6666666666666666,0.4166666666666667,0.08333333333333333,0.0
51,PRE_TEST,1.0,0.9166666666666666,0.75,0.5,0.16666666666666666
51,POST_TEST,1.0,1.0,0.6666666666666666,0.5,0.08333333333333333
48,PRE_TEST,0.25,0.08333333333333333,0.0,0.0,0.0
48,POST_TEST,0.5833333333333334,0.16666666666666666,0.0,0.08333333333333333,0.0
68,PRE_TEST,0.9166666666666666,0.5833333333333334,0.6666666666666666,0.08333333333333333,0.08333333333333333
68,POST_TEST,1.0,0.8333333333333334,0.6666666666666666,0.5,0.0
70,PRE_TEST,1.0,0.8333333333333334,0.4166666666666667,0.25,0.16666666666666666
70,POST_TEST,0.75,0.9166666666666666,0.08333333333333333,0.3333333333333333,0.08333333333333333
72,PRE_TEST,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.4166666666666667,0.16666666666666666
72,POST_TEST,1.0,1.0,0.9166666666666666,0.3333333333333333,0.3333333333333333
82,PRE_TEST,0.8333333333333334,0.4166666666666667,0.25,0.08333333333333333,0.0
82,POST_TEST,0.75,0.5833333333333334,0.25,0.08333333333333333,0.0
85,PRE_TEST,1.0,0.9166666666666666,0.6666666666666666,0.5,0.25
85,POST_TEST,1.0,1.0,0.8333333333333334,0.5833333333333334,0.3333333333333333
84,PRE_TEST,0.9166666666666666,0.9166666666666666,0.5,0.3333333333333333,0.0
84,POST_TEST,0.9166666666666666,0.75,0.3333333333333333,0.08333333333333333,0.0
87,PRE_TEST,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
87,POST_TEST,1.0,1.0,1.0,0.5833333333333334,0.4166666666666667
90,PRE_TEST,0.9166666666666666,0.9166666666666666,1.0,0.5833333333333334,0.4166666666666667
90,POST_TEST,1.0,1.0,0.6666666666666666,0.5,0.5
97,PRE_TEST,0.8333333333333334,0.75,0.16666666666666666,0.08333333333333333,0.0
97,POST_TEST,0.75,0.5,0.25,0.0,0.0
116,PRE_TEST,1.0,0.9166666666666666,0.25,0.08333333333333333,0.0
116,POST_TEST,1.0,0.9166666666666666,0.08333333333333333,0.0,0.16666666666666666
140,PRE_TEST,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.4166666666666667,0.4166666666666667
140,POST_TEST,1.0,1.0,0.6666666666666666,0.25,0.08333333333333333
155,PRE_TEST,0.75,0.8333333333333334,0.75,0.16666666666666666,0.0
155,POST_TEST,0.9166666666666666,0.75,0.5833333333333334,0.25,0.3333333333333333
158,PRE_TEST,0.9166666666666666,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666
158,POST_TEST,1.0,0.8333333333333334,0.5833333333333334,0.08333333333333333,0.16666666666666666
165,PRE_TEST,1.0,0.8333333333333334,0.75,0.3333333333333333,0.16666666666666666
165,POST_TEST,1.0,1.0,0.6666666666666666,0.4166666666666667,0.3333333333333333
168,PRE_TEST,1.0,0.5,0.75,0.5833333333333334,0.4166666666666667
168,POST_TEST,0.9166666666666666,0.75,0.9166666666666666,0.5,0.16666666666666666
177,PRE_TEST,0.9166666666666666,0.6666666666666666,0.75,0.5,0.25
177,POST_TEST,1.0,0.8333333333333334,0.5833333333333334,0.25,0.16666666666666666
178,PRE_TEST,0.9166666666666666,0.75,0.3333333333333333,0.16666666666666666,0.08333333333333333
178,POST_TEST,0.8333333333333334,0.75,0.5,0.3333333333333333,0.08333333333333333
179,PRE_TEST,1.0,0.9166666666666666,0.5833333333333334,0.25,0.08333333333333333
179,POST_TEST,1.0,0.8333333333333334,0.3333333333333333,0.25,0.0
180,PRE_TEST,0.8333333333333334,0.75,0.5833333333333334,0.16666666666666666,0.0
180,POST_TEST,0.8333333333333334,0.8333333333333334,0.75,0.5833333333333334,0.08333333333333333
